id,repo,path,commit_sha,created_at,terms,domains,exact_or_adjacent,claim_class,claim_status,next_action
MRST-2025-05-25-001,rafaelmeloreisnovo/CientiEspiritual-tiEs-,Fioton gravidade magnetismo espirirual.txt,5ea7232d58e1424dd83bc87168b65cbb9c534f98,2025-05-25T15:03:44Z,"foton|gravidade|magnetismo|Einstein-Rosen|Planck","physics|symbolic",exact,EARLY_AUTHORIAL_SEED,CLAIM_BLOCKED_UNTIL_DEFINITION_AND_TEST,"Separate literal physics, symbolic layer and measurable quantities."
MRST-2025-05-25-002,rafaelmeloreisnovo/CientiEspiritual-tiEs-,30 foton gravidade magnetismo espiritual.txt,5e316e75cf758be10cee158a7d4e0f19b529d345,2025-05-25T15:05:28Z,"metamateriais|bioengenharia|memoria fotonica|DNA|bioeletromagnetica|consciencia","materials|biophotonic|biology|physics|symbolic",exact,EARLY_MATERIAL_BIOPHOTONIC_SYMBOLIC_SEED,CLAIM_BLOCKED_UNTIL_MATERIAL_DEFINITION_PROTOCOL_AND_MEASUREMENT,"Define whether metamaterial is physical design, analogy, or placeholder; map to measurable electromagnetic properties."
MRST-2025-07-07-001,rafaelmeloreisnovo/CientiEspiritual,Ia DNA.MD,0251e4d557e621b69a70d8a7d4aa24e08c905bc0,2025-07-07T21:37:53Z,"RNA|bacteria|probiotic|epigenetic|mitochondria|chloroplast","biology|information|computation|symbolic",exact,DNA_RNA_INFORMATION_PROCESSING_SEED,CLAIM_BLOCKED_AS_MOLECULAR_PROCESSOR_UNTIL_ARCHITECTURE_AND_EXPERIMENT,"Create DNA/RNA processing glossary separating molecular computing, bioinformatics and symbolic code."
MRST-2025-07-14-001,rafaelmeloreisnovo/Cosmos,README.md,edf14669a58c51619dea727716b2943384f1609b,2025-07-14T06:19:07Z,"Fibonacci|galaxy|M81|IC342|NGC628|spiral","cosmology|geometry|visual_observation",exact,EARLY_COSMO_GEOMETRY_OBSERVATION,CLAIM_BLOCKED_UNTIL_IMAGE_ANALYSIS_AND_STATISTICS,"Attach image provenance and quantitative spiral-fit comparison."
MRST-2025-07-29-001,rafaelmeloreisnovo/Fisica,Fisica 45,d1ee724443e753ee051b1e353e78cab73247468b,2025-07-29T13:21:22-03:00,"gravidade plasmatica|plasma quantico|gauge|AdS/CFT|vetores hiperdimensionais","physics|plasma|field_theory|symbolic",exact,EARLY_TOPIC_LEDGER,CLAIM_BLOCKED_UNTIL_EQUATIONS_AND_REFERENCES,"Split topics into formal physics terms, speculative hypotheses and symbolic metaphors."
MRST-2025-07-PENDING-001,rafaelmeloreisnovo/CientiEspiritual-tiEs-,Fisicaquimicabiologia espiritualsagrado.txt,ee12913856714a5338f46a0d986a3d82de161be9,DATE_PENDING_FROM_FETCH_TRUNCATION,"DNA|ATP|Michaelis-Menten|Nernst|Henderson-Hasselbalch|Fick|redox|proteins|transcription|translation|lipids|active transport","physics|chemistry|biology|bioengineering",exact,BIOSYNTHETIC_ADJACENT_BIOCHEMISTRY_LEDGER,CLAIM_BLOCKED_UNTIL_PROTOCOL_AND_VALIDATION,"Extract each concept into a table with real formula, units, source, and claim boundary."
MRST-2025-07-PENDING-002,rafaelmeloreisnovo/CientiEspiritual,docs/Reinos_dna_vida.txt,UNKNOWN_IN_THIS_PASS,DATE_PENDING_COMMIT_EXTRACTION,"mycorrhizae|phosphorus|nitrogen|mRNA|plasmids|viruses|DNA|RNA|retroviral","biology|ecology|biochemistry|information",exact,BIOLOGICAL_INFORMATION_FLOW_SEED,CLAIM_BLOCKED_UNTIL_REFERENCES_AND_MECHANISM_TABLE,"Map each biological mechanism to established references and symbolic extensions."
MRST-2026-01-05-001,rafaelmeloreisnovo/Cosmos,documentation/areas/14-energy-conversion.md,UNKNOWN_IN_THIS_PASS,2026-01-05_DOC_VERSION,"thermodynamics|energy conversion|radioluminescence|radioactive waste|E=mc2|TRL","physics|chemistry|energy|safety",exact,ENERGY_CONVERSION_ANALYSIS_LEDGER,CLAIM_BLOCKED_UNTIL_MECHANISM_AND_SAFETY_ANALYSIS,"Connect each energy claim to thermodynamic accounting and safety constraints."
MRST-2025-10-19-001,instituto-Rafael/relativity-living-light,PR #1 / README_MASTER.md,PR1_TRACE,2025-10-19T15:10:53Z,"Omega_s0|Omega_B0|Omega_P0|logistic|photonic|plasma|magnetic","cosmology|physics|plasma|magnetism",exact,FORMALIZED_EQUATION,CLAIM_BLOCKED_UNTIL_REAL_DATA_BACKEND_AND_PERTURBATIONS,"Tie equation to loader, covariance, perturbation model and model comparison gates."
MRST-2025-11-04-001,instituto-Rafael/relativity-living-light,PR #2 / photonic-plasma bridge,PR2_TRACE,2025-11-04T22:38:48Z,"photonic nonlocality|dark sector|H(z)|fsigma8|lensing|Faraday|SPARC","cosmology|photonic|plasma|observational",exact,RLL_PHOTONIC_LOGISTIC_BRIDGE,CLAIM_BLOCKED_UNTIL_REFERENCE_VERIFICATION_AND_BACKEND,"Verify references, link datasets and run formal comparisons."
MRST-TOKEN-VAZIO-QUASICRYSTAL-001,multi-repo,search pass,N/A,N/A,"quase-cristais|quasicrystal|Penrose|aperiodic|tiling","materials|mathematics",not_confirmed_literal,TOKEN_VAZIO,CLAIM_BLOCKED_UNTIL_SOURCE_FOUND,"Search branches and older/private files for quasicrystal synonyms and material diffraction/aperiodic-lattice terms."
