model,z,D,f_growth,fsigma8
lcdm,0.0,1.0,0.5271032022620769,0.42748069703454433
lcdm,0.1,0.9483610235407028,0.5854396320629757,0.4502725607547013
lcdm,0.2,0.8991936031261438,0.6380088894201904,0.4652640189432031
lcdm,0.3,0.8528226862234283,0.6846388820784342,0.47352293082952457
lcdm,0.4,0.8093926420642694,0.7255039825140233,0.47623313879551327
lcdm,0.5,0.7689222097947996,0.7610005990173963,0.47455664602538117
lcdm,0.6,0.7313360069539416,0.7916468408105541,0.46953617491082544
lcdm,0.7,0.6965000725705537,0.8180047487701866,0.46205873073475623
lcdm,0.8,0.664247508371919,0.8406301721360706,0.4528506110872909
lcdm,0.9,0.6343944638415152,0.8600416514047707,0.4424854405798685
lcdm,1.0,0.6067531494069599,0.8767054534498531,0.43140571237871617
lcdm,1.1,0.5811406009800233,0.8910315756146723,0.4199474194491254
lcdm,1.2,0.5573814318128238,0.9033720614355434,0.40835663859184257
lcdm,1.3,0.5353135581485758,0.9140295691931153,0.39681592725892606
lcdm,1.4,0.5147865481395073,0.9232590201328649,0.38545299517285625
lcdm,1.5,0.4956633388229874,0.9312759386141325,0.3743570222696327
lcdm,1.6,0.47781896018242803,0.9382604829857751,0.36358609720217944
lcdm,1.7,0.4611413982362481,0.9443662528194081,0.3531791985451346
lcdm,1.8,0.4455285991070648,0.9497201524266207,0.3431561442883046
lcdm,1.9,0.4308891178722559,0.9544300218398947,0.3335264527616961
lcdm,2.0,0.41714025235257635,0.9585857005463314,0.32429005769109476
w0wa,0.0,1.0,0.5271032022620769,0.42748069703454433
w0wa,0.1,0.9483610235407028,0.5854396320629757,0.4502725607547013
w0wa,0.2,0.8991936031261438,0.6380088894201904,0.4652640189432031
w0wa,0.3,0.8528226862234283,0.6846388820784342,0.47352293082952457
w0wa,0.4,0.8093926420642694,0.7255039825140233,0.47623313879551327
w0wa,0.5,0.7689222097947996,0.7610005990173963,0.47455664602538117
w0wa,0.6,0.7313360069539416,0.7916468408105541,0.46953617491082544
w0wa,0.7,0.6965000725705537,0.8180047487701866,0.46205873073475623
w0wa,0.8,0.664247508371919,0.8406301721360706,0.4528506110872909
w0wa,0.9,0.6343944638415152,0.8600416514047707,0.4424854405798685
w0wa,1.0,0.6067531494069599,0.8767054534498531,0.43140571237871617
w0wa,1.1,0.5811406009800233,0.8910315756146723,0.4199474194491254
w0wa,1.2,0.5573814318128238,0.9033720614355434,0.40835663859184257
w0wa,1.3,0.5353135581485758,0.9140295691931153,0.39681592725892606
w0wa,1.4,0.5147865481395073,0.9232590201328649,0.38545299517285625
w0wa,1.5,0.4956633388229874,0.9312759386141325,0.3743570222696327
w0wa,1.6,0.47781896018242803,0.9382604829857751,0.36358609720217944
w0wa,1.7,0.4611413982362481,0.9443662528194081,0.3531791985451346
w0wa,1.8,0.4455285991070648,0.9497201524266207,0.3431561442883046
w0wa,1.9,0.4308891178722559,0.9544300218398947,0.3335264527616961
w0wa,2.0,0.41714025235257635,0.9585857005463314,0.32429005769109476
rll,0.0,1.0,0.5262471732862104,0.4267864575351167
rll,0.1,0.9484519781162097,0.5842621033870998,0.4494100071416697
rll,0.2,0.8993878907342675,0.6363969442332325,0.4641888072527734
rll,0.3,0.8531357057924204,0.6824431607792761,0.4721775309820426
rll,0.4,0.809843424515496,0.7225315988591504,0.4745461694913959
rll,0.5,0.7695337507411839,0.7570115770945801,0.47244456410234337
rll,0.6,0.7321353257168658,0.7863564740902073,0.4669081551959447
rll,0.7,0.6975177116711938,0.8110968250429068,0.4588261692150649
rll,0.8,0.6655162610898597,0.8317844010064391,0.44894131383786184
rll,0.9,0.6359473989322009,0.8489727104576278,0.43785986500398005
rll,1.0,0.608621056849058,0.8632060571222131,0.4260707415618341
rll,1.1,0.5833492512640919,0.8750065506376192,0.41396211892714574
rll,1.2,0.5599495139954336,0.8848499387822663,0.4018269381421246
rll,1.3,0.5382512694059365,0.8931503787212258,0.38987942103960027
rll,1.4,0.5180956156065959,0.9002423447355159,0.37825969797104575
rll,1.5,0.49933785604392494,0.9063830039730782,0.3670515489668354
rll,1.6,0.4818469007975046,0.9117609452336654,0.35629572197964815
rll,1.7,0.4655062155415928,0.9165137682390154,0.3460071633513399
rll,1.8,0.4502108864168881,0.9207401650037325,0.3361814021055381
rll,1.9,0.4358679061267203,0.924514568757419,0.3268054979267738
rll,2.0,0.4223940300450067,0.9278944073923869,0.3178607947386175
