z,w_eff_seed,f_z_seed,w_cpl_target
0.0,-0.9655548042913159,0.9655548043337889,-0.838
0.1,-0.9198577639680764,0.9525741268224334,-0.776
0.295,-0.7068124711703493,0.9129342275597289,-0.671
0.51,-0.19755255736693733,0.8366257604866205,-0.558
0.706,0.36707810623618986,0.7271082163411295,-0.459
0.934,0.729447641481551,0.5547792351072147,-0.354
1.0,0.7530864201560274,0.5,-0.328
1.321,0.5630966420522798,0.25540308417252405,-0.21
1.484,0.4102625473297916,0.16612633827165055,-0.156
2.33,0.041910329109348554,0.011735483822932333,0.055
